time,value
2020-01-01T00:00:00Z,1500
2020-01-02T00:00:00Z,1525
2020-01-03T00:00:00Z,1550
2020-01-04T00:00:00Z,1575
2020-01-05T00:00:00Z,1600
2020-01-06T00:00:00Z,1625
2020-01-07T00:00:00Z,1650
2020-01-08T00:00:00Z,1675
2020-01-09T00:00:00Z,1700
2020-01-10T00:00:00Z,1725
2020-01-11T00:00:00Z,1750
2020-01-12T00:00:00Z,1775
2020-01-13T00:00:00Z,1800
2020-01-14T00:00:00Z,1825
2020-01-15T00:00:00Z,1850
2020-01-16T00:00:00Z,1875
2020-01-17T00:00:00Z,1900
2020-01-18T00:00:00Z,1925
2020-01-19T00:00:00Z,1950
2020-01-20T00:00:00Z,1975
2020-01-21T00:00:00Z,2000
2020-01-22T00:00:00Z,2025
2020-01-23T00:00:00Z,2050
2020-01-24T00:00:00Z,2075
2020-01-25T00:00:00Z,2100
2020-01-26T00:00:00Z,2125
2020-01-27T00:00:00Z,2150
2020-01-28T00:00:00Z,2175
2020-01-29T00:00:00Z,2200
2020-01-30T00:00:00Z,2225
2020-01-31T00:00:00Z,2250
